喂遲啲去唔去旅行啊	ssssssbes
你老公有冇平機票啊	sbebesbes
平機票要淡季先有得平𡃉喎	sbesbesbesss
而家旺	bes
冇得去嗱	bess
吓	s
而家旺季	bebe
通常都係貴𡃉喎啲機票	bessssssbe
係咩	ss
我聽朋友講話去誒嗰個舊嗰個迪士尼呢廿五週年喎	ssbessssbesbebmesbebes
好抵玩喎	ssss
直程可以喺裏邊嗰啲酒店住𠻹喎佢話	bebesbebebesssss
跟旅行社去囖	sbmess
去𡃉喎	sss
七八月嗰陣時囖	sbebmes
但係都幾貴喎	bessss
都要成萬四蚊四五日	sssbessss
淨係去嗰度玩咋喎	besbesss
冇嘢做	sss
噉咪食同玩咪啱	sssssss
係裏邊食囖裏邊冇乜嘢食𡃉咋喎	sbessbesbessss
係唔係啊	sbes
你都去過喇	sssss
咪係囖	sss
薯條𡃉咋	bess
玩嗰啲玩乜嘢啊	sbesbes
嗰啲囖	bes
係唔係啊	sbes
玩就多嘢睇多嘢玩	ssssssss
不過幾日都好悶啫喺晒裏邊	bessssssssbe
唔係喎	bes
佢好大𡃉喎	sssss
你一日玩一個場喎真係	ssssssssbe
好○𡃉	sss
玩咗咁多日	sssss
噉咪瞓覺囖	ssbes
黐線	be
搭飛機去過嗰邊瞓覺呀	sbessbebes
噉放假係	sbes
係噉𡃉喇	ssss
不過都不過真係好大裏邊	besbebessbe
佢直程可以俾餅帶你呢	sbebesssss
借俾你睇喎睇下裏面有啲乜嘢酒店啊同埋有啲乜嘢嘢玩嚹	sssssssbessbebesbessbesss
直程可以租借餅帶俾你返屋企睇喎	bebesssssssbess
噉呀我好啲喎	ssssss
點解啊	bes
因為我老公做哩行	besbesss
我可以唔使話	sbebes
乜嘢都問佢	besss
我唔使記	sbes
去過幾次唧你老公嗰度	ssssssbebe
我唔知𡃉噉平咪去囖	sssssssss
吓	s
即係不過要係淡季嘅時候呢	bebessbesbes
就唔唔一定唔會七八月𡃉嚹	sssbesssbess
吓咪重好	ssss
唔使咁多人排長排隊	besssbebe
噉係啊	sss
但係要就啱佢啲假期囖	besssssbes
差唔多咋我上次去都係	bmessbesss
淡季去都要啊	bessss
淡季去你幾時啊	bessbes
九月中	bes
係囖	ss
九月中都咁多人去呀	besssssss
係啊	ss
嗰邊都有人未放完暑假𡃉咩	bessssssbess
唔清楚	sbe
但係有啲唔使	bebebe
有啲好快	bess
係咩	ss
但係都唔係好迫人囖	besbesbes
變咗你可以睇嘢睇煙花嗰啲呢就唔使咁迫	sssbesssbebessbess
係囖係囖	ssss
好多人嚹我上次	besssbe
等到頸都長埋啊	sssssss
來嚹下次去邊嚹	ssbesss
未定啊	sss
要等我老公睇下佢嗰度有乜嘢平嘅即係平嘅咪睇下去邊囖	sssbesssbesbessbessssssss
你想去邊喇噉樣	sssssbe
但係我最想去澳洲紐西蘭嗰邊因為都未去過	bessssbebmebebessss
係呀	ss
澳洲你都未去過咩	bessssss
嗯未啊	sss
哦我以為淨係未紐西蘭未去過𠻹	ssbebesbmessss
不過我都想去紐西蘭	bessssbme
